[2026-06-08 15:06:40,230] [CControlCore] STATUS | source=MPCamera | status=CAMERA_PROCESS_TERMINATED
[2026-06-08 15:06:40,251] [CTextToSpeech] TextToSpeech initialized.
[2026-06-08 15:06:40,252] [CControlCore] STATUS | source=MPTTS | status=TTS_READY
[2026-06-08 15:06:40,297] [CGownClassifier] Gown classifier loaded: /home/yeonhu/PyRT/Data/Models/gown_classifier.pth
[2026-06-08 15:06:40,353] [CLLMManager] Loading LLM model: Qwen/Qwen2.5-1.5B-Instruct
[2026-06-08 15:06:40,553] MPEmergency process routine terminated.
[2026-06-08 15:06:40,554] [CControlCore] ERROR | source=MPEmergency | error=MPEmergency process exception
[2026-06-08 15:06:40,555] [CControlCore] STATUS | source=MPEmergency | status=EMERGENCY_PROCESS_TERMINATED
[2026-06-08 15:06:40,764] [CPatientDetector] YOLO person detector loaded: /home/yeonhu/PyRT/Data/Models/yolov8n.pt
[2026-06-08 15:06:40,764] [CPatientDB] Patient DB loaded: 6 patients
[2026-06-08 15:06:41,147] [CROSCmdVelNode] ROSCmdVelNode started. topic=/cmd_vel
[2026-06-08 15:06:41,147] [CROSFollowNode] ROSFollowNode initialized.
[2026-06-08 15:06:41,411] [CROSNavigationNode] ROSNavigationNode initialized.
[2026-06-08 15:06:41,413] [CROSCmdVelNode] ROSCmdVelNode started. topic=/cmd_vel
[2026-06-08 15:06:41,413] [CROSHealthcareNode] ROSHealthcareNode initialized.
[2026-06-08 15:06:41,577] [CGownClassifier] Gown classifier loaded: /home/yeonhu/PyRT/Data/Models/gown_classifier.pth
[2026-06-08 15:06:41,609] [CPatientDetector] YOLO person detector loaded: /home/yeonhu/PyRT/Data/Models/yolov8n.pt
[2026-06-08 15:06:41,648] [CDoorDetector] Door detector loaded: /home/yeonhu/PyRT/Data/Models/door_yolov8n.pt
[2026-06-08 15:06:41,648] [CControlCore] STATUS | source=MPRobotTask | status=ROBOT_TASK_READY
[2026-06-08 15:06:41,674] [CControlCore] STATUS | source=MPRobotTask | status=ROBOT_STOPPED
[2026-06-08 15:06:46,106] [CControlCore] STATUS | source=MPSTT | status=STT_NO_INPUT
[2026-06-08 15:06:46,107] [CControlCore] STATUS | source=MPSTT | status=STT_LISTENING
[2026-06-08 15:06:51,779] [CControlCore] STATUS | source=MPSTT | status=STT_NO_INPUT
[2026-06-08 15:06:51,781] [CControlCore] STATUS | source=MPSTT | status=STT_LISTENING
[2026-06-08 15:06:57,483] [CControlCore] STATUS | source=MPSTT | status=STT_NO_INPUT
[2026-06-08 15:06:57,484] [CControlCore] STATUS | source=MPSTT | status=STT_LISTENING
[2026-06-08 15:07:03,146] [CControlCore] STATUS | source=MPSTT | status=STT_NO_INPUT
